description,is_gen_pub,source
RyeU,1,Random Samples
18  FilM KiD  JerZy  MSU 21  Change the ,1,Random Samples
Im not dumbIm selectively intelligent,1,Random Samples
Reuters China Breaking News Editor exDow Jones UIUC grad I speak for myself only Email VincentsyLeethomsonreuterscom,0,Random Samples
Suman,1,Random Samples
Wannable  MXM  Sewoon  winkon,0,Random Samples
PoemWhatIfABlackGirlKnew ArmyDylemacollectiv Bookings Dylemalyricistgmailcom Instagramhttpwwwinstagramcomdylema,0,Random Samples
The internet and I were kind of close I make YouTube videos  Instagram httpInstagramcomcrazycrisco,1,Random Samples
Todays headlines News and stories BreakingNews WorldNews SportsNews businessNews 247 News Selfhelp Seo Marketing,0,Random Samples
that gay shit,1,Random Samples
Thought Coach Behavioral Health Specialist Certified Clinical Hypnotherapist Advocate for Justice Love Respect Kindness ,1,Random Samples
Big boobed girls always get what they want AVI My Goddess Queen IrinnaMoris HEADER Follow and RT the princess CherryBModelUK BoobsGlobalGroup,0,Random Samples
"Im used to being second
But at least Im consistent",1,Random Samples
fabricated by your nostalgia and romanticized by your broken heart,1,Random Samples
minding my own,1,Random Samples
To hell with happily ever after am here for the story ,1,Random Samples
Christian husband father accountant Leeds fan and fantasy football geek,1,Random Samples
Editor WHERE Orlando Magazine  Storyteller and Budding Photog  Cook  Coffee  Wine Addict  LoyaltoLocal  Views and Tweets are my own,0,Random Samples
SURESTRONGSUPERIOR,0,Random Samples
all opinions my own retweets are not endorsements,1,Random Samples
16 year old boy stanning a princerockstar ,1,Random Samples
Accounting Grad  CIMA  Keyabora nyana ,1,Random Samples
idk what to put here,1,Random Samples
To seak to strive to find and not to yield,1,Random Samples
philippians 413,1,Random Samples
so far its alright,1,Random Samples
Hes a demon on wheels,1,Random Samples
youve got stars in your eyes,1,Random Samples
Conservative Voice and Trump supporter,1,Random Samples
ispeak the truh on anything  everthing From tears laughs  hppiness  Money SWAG,1,Random Samples
Meri zindagi Shraddhakapoor ab tumhi hoooo  Living The Dream Haseena  Saina,1,Random Samples
Music movies travelling and trainspotting Views not my own,1,Random Samples
undeniably desirable instagram niitsitapiiahsisto AMOSC Niitsitapi,1,Random Samples
Silver Jewellery India wholesale supplier of Indian Silver Jewelry and White gold Jewelry,0,Random Samples
i hate myself,1,Random Samples
Infotainment Hub For The Caribbean Diaspora,0,Random Samples
BlackLivesMatter,1,Random Samples
TV strategist  Advertising guru says Abandon the religion which is without compassion and yes narendramodi follows me,1,Random Samples
Stay away from the smelly parts But have fun and take lots of pics D,1,Random Samples
Stacc now ball later o917 ,1,Random Samples
I got locked out of my other twitter I guess this is my home now,1,Random Samples
Im African by birth Xhosa by culture and Cosmopolitan by choice,1,Random Samples
my game my rules,1,Random Samples
No one likes meeeee Too savage too moody too much everything nvm height ,1,Random Samples
dog enthusiast,1,Random Samples
Author of Jaded Secrets Available on Amazon,1,Random Samples
At this point idk whats going on ,1,Random Samples
Young Pirvte  purest,1,Random Samples
MIHO is my life followed by Miho55Nishida  TEAM JHO INTERNATIONAL  TEAM JHO LONDON UKLOVES TO TRAVEL  MEET PEOPLE,0,Random Samples
Big Man Big Mouth,1,Random Samples
If you dislike your siblings this is the account for you,1,Random Samples
I wish for everyone to be happy ,1,Random Samples
DEFWU Broncogang DenverBroncos DB4L oregonDucks nuggets Cavaliers Celtics Coloradorockies psn KJKING16 Chicagocubs CUbuffs warriors lakers CSUrams,1,Random Samples
Specialist procrastinator,1,Random Samples
Indaaaaay Niiiicoooooleeees ,1,Random Samples
hi,1,Random Samples
Are you wondering how to get your business started on Twitter we have solutions visit  httpbitly2mZphx2,0,Random Samples
helo it is i the memewolf runs CandyColourStar  u should follow SpectreRage and madwitch13,0,Random Samples
riley stanford  chatsworth volleyball,1,Random Samples
ShadowLines  The Day the Music Washed Away  a new documentary by Stanley B Gill docs NOLA Katrina,1,Random Samples
Born again activist believes in equality freedom of speech democracy God and science Loves to read and travel and seeks out novel experiences,1,Random Samples
love will tear us apart,1,Random Samples
L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L2 L Wait what,1,Random Samples
Hip Hop x Streetwear DM for Promotion and Business Inquiries,0,Random Samples
"reporter at buzzfeed 
Curt Schilling called me a living version of Wheres Waldo 
mattzeitlinbuzzfeedcom",0,Random Samples
fux,1,Random Samples
its a scary world out there be kind  my dads my biggest fan  Always be humble and kind  Jimbo,1,Random Samples
Patriot Deplorable  2ndAmendment ÔÔÔ_Ô©Ô Ô_ÔÔêÔ«  NOamnesty deport ILLEGALaliens  Somos una Naci_n CON fronteras  DTS  MAGA PresidentTrump ,1,Random Samples
Formerly Pam5561059Forced to start anew GOD CATHOLIC PROLIFE MAGA TRUMP USA Buffalo Bills Buffalo Sabres My Hubby NO Libs Commies Lists Porn,1,Random Samples
"Pathetically Aesthetic
Zupporting zayn from DuskTillDawn
instagramzingzolo  desizain
FB  ZQUAD ZOTOGRAPHY",0,Random Samples
Former Radio Presenter Proudly Pakistani Comfortably British httpsTwittercomsearchqfromShammaPari PTI Supporter TeamPtiWorld,1,Random Samples
A deplorable in search of the true meaning of covfefe,1,Random Samples
Just stop your crying have the time of your life,1,Random Samples
Fluttershy quotes every 30 minutes Please be patient with replies and contact jaspidot for questions,1,Random Samples
Single dad Navy Vet COGM of foul guild GSD owner lover of EDM cooking gaming and things that make me laugh,1,Random Samples
Lifelong DIE HARD reds fan,1,Random Samples
RIP ajnafeemarvinkeith IGallaboutdora snapthedorashow smile4smiley,1,Random Samples
httpinzayncom,0,Random Samples
i like to sing  and wright storys I love the 210 Squad Jack Maynard The Vamps Justin Bieber Jake Mitchell Caspar Lee Joe Sugg and loads more ,1,Random Samples
The official twitter account of Yukons Commissioner serving Yukoners through legislative and ceremonial functions since 1897,0,Random Samples
BEAUTY BEHIND THE MADNESSSPELMAN21,1,Random Samples
KathNiel,1,Random Samples
I am VTW superstar Jamal Pain and Indys Beast Pain is a sign of weakness lets see how weak you are,1,Random Samples
Time reveals truth so just wait on it,1,Random Samples
I saw it coming,1,Random Samples
you have to call me nighthawk,1,Random Samples
im a thot in thothiety mood ª_¿_ ªÛ¿_ªÛ¿_ ¿_ªæ¿_ ¿Â¿_ª_ªªö,1,Random Samples
CEO Embrace EMBRACE the capital Chelseafc home of the Champions  asset to chelsea4pidgin,1,Random Samples
American British actually rather nice when you meet me,1,Random Samples
My life may be in shambles but at least I have Niall,1,Random Samples
I stayed at the same hotel as Adam Sandler once  Profile pic courtesy snoopyfan97,1,Random Samples
F ILUSA Geek Bookworm Fangirl Ravenclaw Blogger of Books  Mental Health ,1,Random Samples
i mean shit beautifulmind,1,Random Samples
time to abandon ship,1,Random Samples
far from normal pvamu,1,Random Samples
respecting women and acquiring currency since 92,1,Random Samples
Just your typical mentally ill and suicidal teen Nothing but damaged goods LesbianDepression  PTSD  Anorexia  Self Harmer  Psychosis,1,Random Samples
It seems my Twitter has made its way back to life and Exo is to blame,1,Random Samples
Niggas Broke They Opinions NEVER matteredwatchmework,1,Random Samples
Historical materialism the 4th industrial revolution and the end of human prehistory,1,Random Samples
Writer Historian EntrepreneurTruthseeker,1,Random Samples
Free Spirit,1,Random Samples
My full name is Alex azazi Am a DJ from Nigeria popularly known as DJ SQUEEZZY aka the turntable I grew up in bayelsa Born November 30th as first child,1,Random Samples
Follow us for all things realpopulur you know you want to xo,0,Random Samples
Where the conversation begins Follow for breaking news and current events from around the globe World News  update  news  latest news,0,Random Samples
Father of 3 Messiah  Aunastee  Legend   SickleCellWarrior  Nov 12th   Tweets Are In My Likes   Stoner  FMoSC  WeedOvaaaHoess,1,Random Samples
Founder of the 12x75 Comical Wine Blog  Creator of the 7WordWineReview 7wwr wine winelover http12x75com,0,Random Samples
22  makoto ren ranmaru  viktor  seiyuu BL soumako nsfw  multishipping is better  OLDCODEX  isuzuki tatsuhisa  art KawaiiAmourArt,1,Random Samples
Neuroscientist Genetical Behaviorist and Behavioral Geneticist,1,Random Samples
Ansiedade inversamente proporcional ao meu tamanho,1,Random Samples
sc  lilmexicane     IG savagelilmexican,1,Random Samples
Chelsea FC shed end then benches followed my team over land and sea,1,Random Samples
Time for Change,1,Random Samples
GamerGate strategic analysis nerd and gamergatehq hub owner at 8chan  8chnet backup Tor server is at  httpoxwugzccvk3dk6tjonion Twitter Shadowbans 5,1,Random Samples
Musician dilettante cafe tramp I tried playing politics it leads to arguing with knobs Id rather die with dignity in Trumps nuclear winter,1,Random Samples
Buy LEMONADE on ITunes LaTavia the legend follows me,0,Random Samples
the only thoroughbred lady is a rebel girl,1,Random Samples
The Culture of Now,1,Random Samples
Metalhead and a serial killer under construction,1,Random Samples
I am a custom bot tweeting about PerfMetrics AB I am very much alive  fully charged Follow me for news on BigData Performance AI Computing Technology,0,Random Samples
 All the love I need is here at OVO ,1,Random Samples
Information Architecture Usability Website Design and Drupal Development Services in Australia,0,Random Samples
httpwwwprojectglaivecom  Free fantasy gaming related fun with games stories videos and so much more,0,Random Samples
PRO CANNABISnatural not chemicalsCannabis for cancer TRUMPanti LiberalUSA and CANADA are my Countries,1,Random Samples
usi 21  singforsophie ,1,Random Samples
Twitter hates me and keeps banning me No place for trolls  sad pepe meme,1,Random Samples
i formed bonds with paper characters,1,Random Samples
the undead                                 loverisaday,1,Random Samples
Boy bands  girl bands ,1,Random Samples
UMW 21   Red Banned   Eagles Real Madrid Dodgers Sixers  116  ,1,Random Samples
I love you love we love we love you love they love I wish it were not conjugation if not reality,1,Random Samples
Am a youtube mobile Gamer I have 3 subs right now Go and check it out at VortexFinest Plays Youtube to help my channel grow thx ,1,Random Samples
Am back Diehard Rays Lightning Bulls Fan Weather and current eventsRaysUp,1,Random Samples
Online Entertainer  Twitch Partner  Youtuber  httptwitchtvritzplays  httpyoutubecomritzplays,0,Random Samples
Liverpool FC  Technology  I have opinions and they are just mine,1,Random Samples
"Febuary 23 2016The day that made me who I amtrash 
I am living for Sanhas chin freckleI love potato",1,Random Samples
Instagram  Blakes24,1,Random Samples
Florida    RIP TYLER 123014 Instagramthe6lackmatt,1,Random Samples
Writer of the monthly UK Anime News Roundup on ranime Link to latest issue below Published on time 20 of the time,0,Random Samples
HF17  Pitt 21  LA face Oakland booty ,1,Random Samples
What people think is non of Your Business,1,Random Samples
see the good   david ,1,Random Samples
Surfing with the aliens stories and information posted here are artistic works of fiction and falsehood Only a fool would take anything posted here as fact,1,Random Samples
Good Vibes ,1,Random Samples
Denna,1,Random Samples
The Best horny porn adult content,0,Random Samples
Live laugh and love,1,Random Samples
wife  mother grandmother concerned for future of country and earth motto live love laugh,1,Random Samples
stuck on earth but my mind is traveling across the universe Basshead 808 RIPMJH BlackLivesMatter,1,Random Samples
Engaged cartoonist and video game collector with aspergers and OCD I try to be a chill and nice person,1,Random Samples
Man needs a god like a fish needs a bicycle,1,Random Samples
Indie author interested in writing and reading Especially mystery thrillers horror crime suspense Free full length book at httppetermartinauthorcouk,1,Random Samples
18 stuff only Im into porn stars big tits cumshots uniforms stockings  heels female celebs  TV presenters,0,Random Samples
Gothamist is a website about New York City and everything that happens in it Get Gothamist in your inbox today httpbitly2wyHhVA,0,Random Samples
 Policy and campaigns for ParkinsonsUK Tweets normally on rugby politics and travel Views my own,1,Random Samples
Football and transfer news covering the major leagues Powered by Squawka,0,Random Samples
Romans 818 East African  BLACK LIVES ,1,Random Samples
Has a human face given medal by the intellectually dishonest,1,Random Samples
United  Goalkeeping and that,1,Random Samples
A7X Transformers LGBT Carolina Panthers Skating Rick and Morty Space enthusiast GuitarBass BlackLivesMatter TransLivesMatter ,1,Random Samples
Parttime Trader  Fulltime Dad Spent the last 13 years looking stockcharts now I see ticker symbols in license plates Entertainment only  not advice,1,Random Samples
 Nanas in TheResistance The Nazis lost so why are they still a thing Lets fix that Big fan of human decency  and kindness,1,Random Samples
What The Streets Listen To NevasoRadioyahoocom submit music,0,Random Samples
Sippin Tea in your hood  inspiring the masses  KillMoe FreeFlock  Business  CONTACT gspittahgmailcom   TowsonU,0,Random Samples
In the eyes of the privileged equality  Justice seem like oppression  Geopolitical  Political Analyst I have a Foul Mouth  Big Up B Sanders  J Corbyn,1,Random Samples
"17 years 
Directioner Forever 
Face Lucas Tomlinson  
insta LucasTomlinson 
Snap LucasTommo",1,Random Samples
I say yes to stuff and dope shit ensues  Rapperformer photog for AllHipHopYKTVLA hostrap game Googlefrom SuperDuperCrew  iamHBYatgmail for inquiries,1,Random Samples
"Former union Iron Worker AWACs vet science dork particularly Astronomy Formula 1 fan  liberal atheist
No I do not nor will I ever have a Facebook",1,Random Samples
Following the music changes around the world,1,Random Samples
romans 116 ,1,Random Samples
OG heck girl  6416 ,1,Random Samples
Phones Gaming Computers Dubai EYE UAE EUTESLA SpaceXTrains Aviation HYPERLOOPData ScienceTECH Saudi Arabia JEDDAHTower Astronomy Abu Dhabi IoT,0,Random Samples
Retired librarian Celtics fan natural history buff concerned American,1,Random Samples
Keep up to date with all the latest news from the football worldOver 18sPlease gamble responsibly,0,Random Samples
ItsVocals LODB 314  610 im happiest when I can buy what I want get high when I want,1,Random Samples
The Hong Kong flight has been cancelled,1,Random Samples
Im just too simple but that doesnt mean I tolerate nonsense,1,Random Samples
I am no politician just the opposite But I take exception when politicians openly start taking the people for a ride Then it makes me see red,1,Random Samples
Just an ordinary guy I dont know what im saying Soulful House enthusiast I have a good tooth Ladies please follow me,1,Random Samples
My Tweets are here to inspire I am not Mila Kunis Parody Account This account is not associated with Mila Kunis I do not own any content posted,1,Random Samples
st margs,1,Random Samples
XICW Xtreme Intense Championship Wrestling is the premiere  longest running professional wrestling company in the Metro Detroit road2cobo october72017,0,Random Samples
HollyHood,1,Random Samples
Just a girl wanting big things out of life,1,Random Samples
110715 a king was born name Silas Samuel WeDemBoyz TeamTurnUp,0,Random Samples
Prince of Sardonia and in the words of the great Tommy Lee Jones I DONT CARE,1,Random Samples
its two oclock on the edge of the morning,1,Random Samples
Ex Professional Footballer Girondins de Bordeaux fc  LOSC fc  Norwich City fc  Ross County fc ,1,Random Samples
Im not malab but I can make your life macaan,1,Random Samples
Constitutional Conservative God guts and guns made this country great  1A 2A NRA I dont suffer stupid people aka Liberals very well God bless the USA,1,Random Samples
hi im a loyal jeongguk stan and jimins calico cat ,1,Random Samples
My life consists of dogs hiking and chicken nuggets,1,Random Samples
TEAMIPHONE SC Diamond0327 AGUILUCHODESDECHIQUITICO,0,Random Samples
If someone doesnt like who you are or how you act dont try to change for them In the end it wont be worth it,1,Random Samples
i love soonyoung pass it on,1,Random Samples
History News Politics,0,Random Samples
Roanoke Va native Husband Brother Son  Uncle Army Veteran Believer Sports AnchorReporter WFXRFOXWWCWCW RoanokeLynchburg Va NABJ Member,1,Random Samples
daniel is so squishy,1,Random Samples
Entrepreneur for 24yrs Myloves all Individuals of course I may not agree wsome Yet I do personally work 2 empathize wAll   xs I do fall short,1,Random Samples
Care for a fucking,1,Random Samples
May the wind always be at your back and the sun be upon your face  SC avery17 ,1,Random Samples
the opposite of war isnt peace ,1,Random Samples
Southeastern Fisheries Association Founded in Florida in 1952 to protect the fishing industry in the Southeast US,0,Random Samples
You do whatchu want when youre poppin,1,Random Samples
I stan talents ,1,Random Samples
hey im your toking asian,1,Random Samples
RESISTANCE DemForce NotMyPresident Hillary2020 NeverTrump NoEthicsNoConfirmation GrabYourWallet StillWithHer httpstcosf4a9ATzsv httpstco75YvbpYTmT ACLU OccupyDem,0,Random Samples
Singer SongwriterAuteurCompositeur Lara Fabian Roch Voisine ChimÃ¨ne Badi Bruno PelletierPatrick Fiori Nouveau spectacle et album De Rome Ã  MontrÃ©al,1,Random Samples
the mind of a perfectionist is always in pain,1,Random Samples
Currently reinventing myself IG Nylaell  SC nyny23,1,Random Samples
Crystal Palace Yarns  Straw Into Gold since 1971 Michigan2Calif MarineBiol2Textiles FSM vet 1964,1,Random Samples
"Agnostic atheist naturalist skeptic moderate liberal egalitarian

Facts over feelings",1,Random Samples
Jimin is babe fight me Im lowkey turning into a nsfw profile Im hard and soft at all times,1,Random Samples
HR Guru,1,Random Samples
"MBA In Finance  Social Media Activist  Urdu Poetry Lover   Pakistan Zindabad
Working For MQMPakistan Only ",1,Random Samples
Authority Questioning Guntoting Proud American Liberal Surviving in a Red State backwater full of closedminded goddrunk fake Christian hypocrites,1,Random Samples
DePaul University 2021,1,Random Samples
Enthusiatic entrepreneur  Win a Ferrari httpbitly2vXrxGr Are you an investor or donator httpbitly2h4WTc9 Investors link httpbitly2y2xO5I,0,Random Samples
28  ENFJ  fam4ever kavicat charliecattweet dovne zakdonttweet   with specialboyroy  Im also artbyfloe  icon by itsnero ,0,Random Samples
Travel Vacation FamilyTravel Adventure TravelLove,0,Random Samples
Never think that the sky is the limit when there are footprints on the Moon  neiltyson,1,Random Samples
JaVon GreenThe Humble Beast Writer for httpsportstalkfeedcom httppaypalmeJGreen116 dont be afraid to help a studentathlete,0,Random Samples
I be grinding so hard my teeth short,1,Random Samples
"A SMILE Even in times of hatred Drunk with Idea of India India shall Prevail not the Bigots
RTs not endorsement Liking has various layers",1,Random Samples
dont be what they made you,1,Random Samples
Onward and Upward,1,Random Samples
Resurrecting hard to find and out of press Christian Punk for the 30somethings some 40somethings that feel nostalgic You might find metal here,1,Random Samples
theyfae artist plant enthusiast save the bees sazart validussnake,1,Random Samples
Actor Represented by Peter Davis at dQ Management Soon to be appearing in The People VS Donald Trump at the LondonTheatreNX 19th24th September 2017,0,Random Samples
Manchester based International registered Non Profit Organisation with a simple vision To improve the health of Women and Children Worldwide,0,Random Samples
it happened,1,Random Samples
PSNTheQuickest TwitchChristianCreighton I play tons of games hopefully you guys will enjoy them httpswwwtwitchtvchristiancreighton,1,Random Samples
venmo BitsyLand,0,Random Samples
 Kayu 1,1,Random Samples
TheWoodyShow Morning Show on ALT987FM LA ALT1049FM STL 1041TheEdge ABQ  ALT1023 Portland Web nerd Two French Bulldogs Always in Vegas or  Disneyland,0,Random Samples
Itsnickbean X1 12615 and followed 112915 BruhitsZach likedX1,0,Random Samples
A Better You Image Transformation,0,Random Samples
Gemini Chelseafced sheeranbabajide777,1,Random Samples
"httpstcoNdNqjhL4Df httpstcoSrNlDk0O8F
httpstcoP4oRUJ7Bev 
httpstco1rt1KbIEUk
httpstcon2aV6wDT1C 
Opinions my own RTs  endorsements",1,Random Samples
I enjoy the twitter Fan of LFC and the Aztecs Bigger fan of zenayono Bar survivor RTs  food for thought like a nice piece of cake or something,1,Random Samples
Executive Editor SoFlaGayNews South Florida Gay News Past President of SPJFla SPJ Florida,0,Random Samples
Frankie my dog,1,Random Samples
BTWN GramFam HaydenJayden,1,Random Samples
A committed Nigerian who sees a bright future ahead,1,Random Samples
Odi ,1,Random Samples
Serial Dater  Philanthropist  Gentleman  Person of Interest  Social Influencer  Sneaker Politics  Contact ryansharrodpoigmailcom FMOSC jonesusss ,0,Random Samples
2016 Fashion Trends For Men  Women UTrendFashion Coupon Code save10 Visit us now for quality and low prices always,0,Random Samples
Joined Twitter to follow our POTUS AMERICAN Zionist NEWS FLASH Your feelings arent facts Only you think they are Put me on a list  automatic block,0,Random Samples
Pop Culture Witch ,1,Random Samples
One of 5 brothers Expect tweets of refurbishment of the house I bought with mallowstudio Employ me,1,Random Samples
I wanna see you undo it ,1,Random Samples
"SCyepthistiff  IGlovelymeeeeee
South Fl",1,Random Samples
"architecture architecs 
Architecture Magazine",1,Random Samples
Human potential visionary Transformational Alchemist New generation firestarter inspiring a global revolution in Consciousness httptcoEvashotxy1,1,Random Samples
put me in the bin ,1,Random Samples
i like to play minecraft and league and to fuck mad bitches and i record and post videos on to youtube and live stream,1,Random Samples
pressure builds diamonds httpGodDogsNico,1,Random Samples
My twitter is like 30 about my mental health its bad 40 sex and the sex Im having kind of bad I guess and 30 politics real bad english and german,1,Random Samples
3513 LeVarBurton replied to my tweet I keep my ticket stub from The Dark Knight in my wallet Its the principle of the thing I listen to Yanni a LOT,1,Random Samples
just a loner,1,Random Samples
Mark Wood  OwnerPublisher  The Big Island Reporter  State of Hawaii   httpwwwTheBigIslandReportercom  8087968843 MarkWoodTheBigIslandReportercom,0,Random Samples
what the cat dragged in,1,Random Samples
youll miss 100 of the shots that you dont take,1,Random Samples
I drink cheap coffee and am probably 14 through my lifespan,1,Random Samples
Just floating through the TL 203 Bound,1,Random Samples
Director  Producer ZMX Inc  Theater Film  Creative Media   Indie Arts Pro Theater Film Lit  Langs Music SGI pets   I actsingwrite ,0,Random Samples
"Hold it down from the trap house to state house
 Hell never be my president
BlackLivesMatter
BlackGirlMagic
CofC20",1,Random Samples
httpwwwrichcoke Banker Interest rate Macro Geopolitical Africa that kind of thing,1,Random Samples
Ø§ÙÙ ØªØ´ÙÙÙ ÙÙÙ Ø£ÙØª Ø§ÙÙ Ø§Ø®ØªØ± Ø§ÙÙ ØªØ´ÙÙØ© ,0,Random Samples
Im the treehugging animalrescuing freethinking humanist activist liberal heathen your parents warned you about theResistance ,1,Random Samples
"Collecting funds for hurricane victims
ES76 0049 0499 12 2790441972
1 or 5What you can bring will bring help to the Caribbean",1,Random Samples
entrepreneur proud father pseudo takfeeri,1,Random Samples
Bewildered by a world of tyrants and fools,1,Random Samples
sup dame sushi plox silver trash,1,Random Samples
Its crazy Im thinking just knowing that the is round and here Im dancing on the ground Am I right side up or upside down FlytheW WarEagle,1,Random Samples
blacklivesmatter mad n bitter,1,Random Samples
I got a girlfriend now and shes made of gold,1,Random Samples
MEOWDY yall Sassy Spacelynx with a drawl Sometimes a warrior werewolf Madly in love with NexusFolf,1,Random Samples
movin around in the fog,1,Random Samples
7 or nothing  jjp stan since dh2   myday on the side   gotbangtan enthusiast   i make jjp vids on yt ,1,Random Samples
bro,1,Random Samples
All sectors of every galaxy must unite against the Empire  Palpatine GeeksResist StarWars RebelAlliance Proud RebelScum TheResistance Jedi DefendDACA,0,Random Samples
cant believe how strange it is to be anything at all,1,Random Samples
hi Im mr meeseeks,1,Random Samples
Entrepreneur BitCoin Broker Network Marketer Tech founder founder CardioWellnessca httpAllanMarstoncom,0,Random Samples
23 real life lesbian x SC megcawth ,1,Random Samples
Global Director of Learning  Development Producer  Host Adobe Author Chat DIY Home Improvements WriterReviewer,0,Random Samples
tired of being compared to damn Britney Spears  shanetelf on Snapchat,1,Random Samples
Ayrshire born and bred Scot Nat Left wing republican like a debate not good with fools,1,Random Samples
 joshuadun nice background,1,Random Samples
BTS,0,Random Samples
SOTH  my time cost cash app me so I know its real theatia,1,Random Samples
i dont believe in shooting stars but i believe in shoes and cars,1,Random Samples
Wise enough to realise Id better not try dispensing wisdom,1,Random Samples
"There Is A Light That Never Goes Out

MOZ equality THERESISTANCE ReadAFuckingBook Indophile",1,Random Samples
Carolina PanthersFootballNFL Draft Guru Writer for SnackTimeFS Panthers contributorwriter for TheSportsTalk My takes are too  sometimes,0,Random Samples
youll never shine if you dont glow ,1,Random Samples
22 Coolin,1,Random Samples
The School of Film  Television FalmouthUni cilect accredited UK No1 Creative Arts University FalAnimationVFX FilmatFalmouth TVatFalmouth MAFTFalmouth,0,Random Samples
Calist8OfMind  NorthernCalifornia BayArea Born  CentralValley  Rep  CaliforniaGrown ArizonaLiving,1,Random Samples
Funfriendsfamily  God  my interest,1,Random Samples
