description,is_gen_pub,source
"Mom, Wife, Program Manager for @Crisis_Nursery, #ECE student @ASU, Early Childhood Educator and Consultant, Child & Family Advocate, Latina Leader. #Reggio",1,Mesa Shooting
Freelance journalist. Digital nomad. Traveller. Write daily for @AskMenDispatch & @AskMen. Frequent contributor to @VICE & @VICECanada,0,Quebec Mosque Shooting
Appalled at Trump (and I MUTE trolls - don't waste your time!),1,Quebec Mosque Shooting
Flat Earther. God,1,Bostong Marathon Bombing
Runner,1,Bostong Marathon Bombing
JONAS. DNCE. DICAPRIO. HARINGTON. EFRON. CYRUS. LOVATO. GOMEZ. SULKIN. MARS. RADCLIFFE. TATUM. POTTERHEAD/GG/THRONES/Spidey/Bball/ met the JoBros on 10/19/12,1,Bostong Marathon Bombing
#SouthernOegon\'s #RogueValley chapter of #TheResistance & #Indivisible. #UniteBlue #DemForce #womensmarch #NoFascistUSA #ã_ #NotMyPresident,0,Quebec Mosque Shooting
"Environmental engineer, passion for water, tech, Asia, China, media, movie, photography... Production Assistant @hardtobelieve_m",1,Brussel Airport Bombing
@ASU IT Student | @HRC Volunteer | #FEMINIST | I love data | #EndTheStigma,1,Mesa Shooting
"Go Teacher, Programmer and Political junkie. You have been warned. #ImWithHer",1,Quebec Mosque Shooting
Patriot Love my Country and Flag AntiIllegal Alien  AntiInsider Trading by Elected Officials Trump 100 Make America Great Again,1,Random Samples
This feed provides timely #interstate #traffic info & RT's for I-95 in #NH. Pre-plan your trip or use a text reader on the go. Stop Distracted Driving!,0,Brussel Airport Bombing
Oklahoma Food and Music News is exactly what it says. News from around the red dirt nation and across the globe.,0,Brussel Airport Bombing
ig: ohairicka,1,Mesa Shooting
"always working artist, chef, great thinker, giver of life and mom",1,Quebec Mosque Shooting
"An analyst who uses her expertise in four different astrologies-many traditional to describe large trends, character delineation and the future.",1,Brussel Airport Bombing
#German-American White Nationalist Constitutionalist #NS #WN #AntiZionist No $ 4 Israel  #AltRight #BuildTheWall #Trump2016,1,Brussel Airport Bombing
The nation's only online criminal justice news service--All crime,0,Bostong Marathon Bombing
"Audiophile, Stern Fan, NBA Addict. Web Development/Design, Googler #BKN #NYG #NYY #NYR #PRL #foxforcefive IG: LTBoogie",1,Quebec Mosque Shooting
You live and you learn Life is nothing but lessons,1,Random Samples
"Btech Mba CFA(US) InvstBanker. CorpLaw, IPR, Golfer #followed by #milleniumman Hon'PM @narendramodi Hon'@girirajsinghbjp @byadavbjp @upadhyaysbjp @unicefindia",1,Brussel Airport Bombing
The official account of the Binghamton Press & Sun-Bulletin.,0,Quebec Mosque Shooting
Deputy @HealthyLiving Editor at @HuffingtonPost. Sundress enthusiast. Future golden retriever mom. Mental health advocate. Former Floridian. Tall person.,0,Bostong Marathon Bombing
JESUS IS SUPREME,1,Random Samples
"Westminster College, Class of 2016 - National Security Studies, Political Science, Transnational Studies// Red 5 standing by",1,Brussel Airport Bombing
National talk radio & TV host of @davidpakmanshow. Retweets & follows are not endorsements. Instagram: https://t.co/qbZT6ZHsjZ,0,Brussel Airport Bombing
Resisting as hard as I possibly can Eating nachos is selfcare Terrifying politicians is my kink,1,Random Samples
ZoidYokai Watch and BNHA trashMad scientists and cyborgs are my brandLowly fic writer and artist,1,Random Samples
All-American Middle Class White Boy~ I identify myself as a 12thMan #GoHawks,1,Brussel Airport Bombing
Fighting for disabled adult son's health/human rights like a Mom does ;) I was pregnant downwind of coal-fired paper mill. My son was born w/Asperger's Syndrome,1,Bostong Marathon Bombing
"I\'m a b*tch, with a huge heart, and a long funny streak. References available upon request.",1,Quebec Mosque Shooting
Using empathy and compassion as our guiding values we can inspire and cause the positive change the world desperately needs.,1,Quebec Mosque Shooting
Believer of perfect happiness                 Instagram acacsales,1,Random Samples
I VOTED FOR @realDonaldTrump FOR PRESIDENT 2016! #ALWAYSTRUMP. WILL BLOCK TRUMP HATERS!!! FAN OF #48 TEAM NASCAR DRIVER JIMMIE JOHNSON #SE7EN,1,Brussel Airport Bombing
"Hunter, rafter, gardener.READER.Wanting a safe, solid life of hope for the generations to follow.Equality for all.Laugh everyday. No Lists!",1,Quebec Mosque Shooting
"I'm 31 yrs old & I was born a contradiction. i ? traveling, writing, reading, researching and animals. :)",1,Mesa Shooting
A humorous romp as I celebrate wineries wine bars small breweries farmersmarkets unique dining pubs eateries  foodtrucks  other tasty delights,1,Random Samples
"If the apocalypse comes, beep me.",1,Quebec Mosque Shooting
"The farther backward you can look, the farther forward you are likely to see.  Churchill #God #MolonLabe, #1A, #CCOT, #TCOT, #Patriot, #SupportIsrael #Trump2016",1,Quebec Mosque Shooting
my advice to you is dont hustle the hustler,1,Random Samples
A leading source of global news and information for more than 75 years.,0,Bostong Marathon Bombing
so I can get a better look at this life of mine || #fitfluential #sweatpink @nuunhydration ambassador,1,Bostong Marathon Bombing
"Christina G Miller is an entrepreneur speaker and coach who writes health and wellness related content   
                                      Livedream",0,Random Samples
"Photojournalist, Creative and Curious (Views expressed here are my own)",1,Mesa Shooting
Silver member of THE ARSENAL supported through thick and thin since 1950,1,Random Samples
Rapper/Producer/Leftist |,1,Bostong Marathon Bombing
Father husband 3rd line checker CSS nerd and business  project manager visuallizard nightly voice actor before bed and a windchilled soul,1,Random Samples
#cdnpoli #webdev #gamedev #devops  Member of the Pirate Party of Canada https://t.co/fssZwUPbKf,1,Quebec Mosque Shooting
"I have probably run past you in #dtphx. I have been called the fastest jack in Jefferson County. Use a semi-colon correctly, and I will most likely kiss you.",1,Brussel Airport Bombing
Cat Carer at Bleakholt Blogger Mental Health Fighter Girlfriend Blink 182 Enter Shikari Wrestling Not Vegan Dont Be A Dick ,1,Random Samples
The Schnitt Show LIVE weekdays 3-6PM ET. Listen on these fine stations: https://t.co/Rk0ePjzxTM Also follow @toddschnitt,0,Bostong Marathon Bombing
Former State Representative - focused on building an environment that promotes prosperity for all,0,Bostong Marathon Bombing
/ I BELIEVE IN KARMA!!!  Baseball and NFL. Enjoy listening to music and discovering new artists. #SUFC #twitterblades #YCCC #SFGiants #49ers,1,Bostong Marathon Bombing
Affiliations: @guitarcenter @RTE_Studios @bexargreens @oxymoronsimprov,1,Bostong Marathon Bombing
why yes I do know bio,1,Random Samples
GM at ABC15. Wife to Kip. Mom to Lauren. Daughter to Larry & Julie. Grateful friend to many. News & Bachelor Junkie.,1,Mesa Shooting
amish school girl on crack ~ gcu,1,Mesa Shooting
What The Streets Listen To NevasoRadioyahoocom submit music,0,Random Samples
\'So called\' attorney in the pacific NW.,1,Quebec Mosque Shooting
Mother to my LOVES Tia Dutch  Zoe Resourceful Intuitive Sunglass Wearing Former It Girl of the 80sDefender of Human Rights ,1,Random Samples
Atlanta's best source for news.,0,Bostong Marathon Bombing
"Cyclist, Alt Trans Proponent, Reader, Writer, Thinker, Social Critic, Promoter of Power to the People!",1,Quebec Mosque Shooting
Technical Director. Comic fan. Eater of food.,1,Quebec Mosque Shooting
We Vape We Vote,1,Random Samples
"Teen filmmaker LPS collector artist and animal lover My YouTube channel is the place where Littlest Pet Shops come to life
PB  ThePointlessGang",1,Random Samples
Managing Director of North Wales Tourism Ltd. Working to keep sport clean. Views expressed here are entirely my own!,1,Bostong Marathon Bombing
lifestyle and culture reporter at http://t.co/tBGABjtvFA | The Times-Picayune. lover of all puppies. email me: cbrasted@nola.com  love being on the healthy side  beach girl. Lover of life and laughter!,0,Bostong Marathon Bombing
Dalla Terra House Astrologer  Regional Manager for the Mountain States Allie  Bens Nonna Sienas slave Love my Noles  DU Pioneers Basketball,1,Random Samples
Marketing communications professional | flower stalker | animal lover | passionate creative | wannabe singer | tree hugger | runner,1,Bostong Marathon Bombing
"Co-anchor of 12 News Today. KPNX NBC Phoenix, Arizona. Trading snow for sunshine.",1,Mesa Shooting
Steer in the direction you want to go.,1,Bostong Marathon Bombing
I'm K.B. and I've got a lot to say. http://www.kbsez.com   Entertainment-Technology-Politics-Whatever - On Google Plus you can find me at: http://gplus.to/KBSez,1,Brussel Airport Bombing
@tclancy12 | Hair-do Salon,1,Mesa Shooting
dork from the middle west and a buckeye alumnus in the land of pleasant living,1,Quebec Mosque Shooting
Mother & Wife! Jeff Gordon\'s #1 fan! Never let someone step on your dream!,1,Quebec Mosque Shooting
"bassist for @falcontribeband, writer, podcast cohost (on things w/donny & george), occasional sorceror, decent with excel, i guess. what is this, a resume",1,Quebec Mosque Shooting
"Don't just make an impact, be the impact. Coyotes, Patriots, Red Sox, and Bruins! 
Follow me on Instagram: CenterIceSweety",1,Mesa Shooting
"Periodista en el Sur de Arizona de Telemundo Arizona. Amo mi trabajo, la frontera, pero más que nada mis hijos.  

karla.gomez-escamilla@nbcuni.com",1,Mesa Shooting
"""To be a Negro in this country and to be relatively conscious is to be in a rage almost all the time."" - James A. Baldwin",1,Quebec Mosque Shooting
Journalist / Sports Junkie,0,Bostong Marathon Bombing
Journalist,0,Bostong Marathon Bombing
#UT20 RTF  Growing up nerdy in the hood is its on genre,1,Quebec Mosque Shooting
httpwwwbrainxtccom Never Stop Thinking,1,Random Samples
A Mile High And Louder Than...... #Packers #LoboNation #Angels #NDNation #Bulls,1,Mesa Shooting
"Catholic school teacher. Writer. Mom. Lala (Grandma). _´Ù our Great Lakes. So thankful for His forgiveness, His Church. Praying that His will be done through me.",1,Quebec Mosque Shooting
"Nobody exists on purpose, nobody belongs anywhere, everybody\'s gonna die...Come watch TV? #TYBG",1,Quebec Mosque Shooting
I like pre mixed coke and burger. I\'m obsessed with op shopping. I take a lot of photos. I\'m short. Very short. I love my life.,1,Quebec Mosque Shooting
"Just because I tweet something doesn't always mean I agree with it! Conservative, Republican, Libertarian, somewhere in between! Always an American!!!",1,Brussel Airport Bombing
Stay humble?? Aspiring actress,1,Mesa Shooting
Today's Hit Music,0,Brussel Airport Bombing
"Passionate advocate of our precious and irreplaceable oceans, beaches, and wildlife. Unshakable supporter of Liberty, Constitution, Bill of Rights...and TRUMP!",1,Brussel Airport Bombing
It is what it is.,1,Mesa Shooting
"Dress like a gentleman think like boss. MV Senior. Mayweather Promotions .Goldenboy Promotions BWB Team/BBT Team. EST: 1996 Los Angeles, California",1,Mesa Shooting
Latino  poet  SATX  3rd year MAMFA student OLLU   CoConspirator with bx3poetryspot,1,Random Samples
PARTYYYYYYY,1,Quebec Mosque Shooting
Musician.,1,Quebec Mosque Shooting
"Done with Grad school for now. Born & Raised in TX (not my fault). Muslim.blockety block block. Personal Account, nothing is an endorsement! + _ô_ôÇ_ô±_ô_",1,Quebec Mosque Shooting
Philippians 4:13 | Sc:Esthergrein23,1,Quebec Mosque Shooting
Social Media Entertainer.  @Grasswire User and #MatthewKeys Supporter.  https://t.co/1uuNEDDWKY,1,Bostong Marathon Bombing
put me in the bin ,1,Random Samples
"Feminist animal rescuer who loves dogs, wine,& reading. I will not be quiet and let hate win. #resist #istandwithpp #equalrights #nodapl #savetheearth",1,Quebec Mosque Shooting
Medical Registrar in Elderly Care Medicine. ACF in Medical Education with @CAMERAPUPSMD. Chairs @AoMEECG.  fashion  travel & social media. lover of sports & red wine.,1,Bostong Marathon Bombing
It me,1,Brussel Airport Bombing
Deputy editor of @PostOutlook and @WaPoThing. Former @wcp editor. Want to write something for the @washingtonpost? Email mike.madden@washpost.com.,0,Brussel Airport Bombing
Diehard Bostonion an proud Liberal.  #GunSense,1,Quebec Mosque Shooting
Country Music Recording Artist. Albums' COUNTRY FLOW & DAVID BRITT on iTunes https://t.co/wXpckci4OgÛ_,1,Bostong Marathon Bombing
Still @AARPFL state director. Comments my own as is my non-AARP Catholic blog,1,Bostong Marathon Bombing
Associate Editor @Tiger_rag Covering LSU football and baseball. Native New Yorker. Coffee drinker #dfiu Send tips/ideas to james@tigerrag.com,0,Bostong Marathon Bombing
"50% Italian, 50% Cuban, 100% Boss.             NYC. TX. MD. VA. AZ. JAPAN. ITALY. Author. Attorney. Mother Extraordinare.",1,Mesa Shooting
follow me i follow back ,1,Random Samples
Who Knows?,1,Quebec Mosque Shooting
CHS |,1,Quebec Mosque Shooting
State Representative - 12th Suffolk District,0,Brussel Airport Bombing
Editor of News Photographer magazine for NPPA. Writer,0,Bostong Marathon Bombing
Singer SongwriterAuteurCompositeur Lara Fabian Roch Voisine ChimÃ¨ne Badi Bruno PelletierPatrick Fiori Nouveau spectacle et album De Rome Ã  MontrÃ©al,1,Random Samples
The nation's only online criminal justice news service--All crime,0,Bostong Marathon Bombing
Love played in Real-Time. Wedding Cinematography based in Minneapolis.,0,Bostong Marathon Bombing
NWS certified spotter OFK727,1,Quebec Mosque Shooting
I know the spell,1,Random Samples
Sneaker Hoarder & Outdoor Enthusiast. Tweeting with a pinch of humor from SoCal.,1,Bostong Marathon Bombing
I have come to believe that fighting for my country is more important than ever and will work to educate the people who believe untruths and falsehoods.,1,Quebec Mosque Shooting
A conservative who despises liars and sociopaths. FOLLOWED BY @tedcruz @seanhannity @davidlimbaugh @mariashriver @jjauthor @kenwahl1,1,Brussel Airport Bombing
If you're always criticizing stuff you don't listen to as opposed to uplifting music you love you really can't say you love hip-hop. #BlackLivesMatter #Obama,1,Brussel Airport Bombing
@Enews Anchor &CEO @afterbuzztv.creator 2x NYTimes Best Selling Author.@siriusXM host+New book out: The EveryGirl's Guide To Cooking https://t.co/qrXJFNVs1N,0,Bostong Marathon Bombing
Professional pianist. Professional math/data/computer science nerd. Amateur chef. World traveler. Lover of all things Black. @howardu alum.,1,Quebec Mosque Shooting
Û¢Local Events Û¢Community Representative Û¢Coffee Û¢Sports Û¢Food Trucks Û¢£À  (RTs äÊ Endorsement) #Politics #CurrentEvents #NCAA #SATX #FoodTrucks,1,Bostong Marathon Bombing
Can you feel it?,1,Quebec Mosque Shooting
im not going to give you the haircut you want because you will look like a fuck freak dunce and im the professional here,1,Random Samples
Partner of @MA_Fowler,1,Bostong Marathon Bombing
Your local news headquarters.,0,Bostong Marathon Bombing
Conservative; libertarian leaning. Adoptive parent. Constitutionalist. Individual freedom. Capitalism created most wealth. Socialism murdered millions,1,Brussel Airport Bombing
cause shes dead,1,Random Samples
DIRECTIONERS AND ZQUAD RULE THE WORLD AND TWITTER,1,Random Samples
Jesus. Young Life. MIddle School kids. Physical Education Teacher. Dedicated SDSU Jacks Fan. Mt. Dew and Pizza lover. idk about you. but Im living the Dream.  tattooed  small 'l' libertarian. #Cleveland #liberty #metal #outlawcountry #craftbeer #homebrew,1,Bostong Marathon Bombing
Graphic Design | Boston Sports | Bill Clinton  Braves  Titans  Preds fan.....Expert BBQ taster  baker & builder/owner JC-Jack and Co.,1,Bostong Marathon Bombing
Im an entitled Ebony GODDESS  your wallet is my playground now PAY UP LOSERS GWQueenRozay PPDiamondrosexxxgmailcom findom worship paypigs Ohio,0,Random Samples
100 Gemini  100 Jamaican,1,Random Samples
"Divorced mother of 2 amazing grown daughters. US Navy (RET), BA 2002, OLLU. Enjoys smooth jazz, fine arts, travel and cooking. Grad student Concordia Univ.",1,Quebec Mosque Shooting
The Valley's Greatest Hits,1,Mesa Shooting
Believer,1,Bostong Marathon Bombing
#GunViolenceMustEnd! #LGBT #Equality #BLM #Bernie #Hillary #Unions #Progressive #DumpTrump #ChristiansAreTerroristsToo #GetVocal,0,Brussel Airport Bombing
"Conservative southerner, Reagan fan, and passionate about veterans' care",1,Brussel Airport Bombing
Longtime advocate for ending the Drug War // Comms @MIRACoalition // Moonlighting @Reuters & sometimes @cjr & @POLITICOMag // Saturday nights @2RRR885 #Sydney,0,Bostong Marathon Bombing
Designer and owner of Porter & Hazel Custom Leather Jewelry contact me at jessica@porterandhazel.com,0,Quebec Mosque Shooting
"Live from the newsroom of KTVK-3TV and http://t.co/xo6r5wSNdN in Phoenix, Arizona. Delivering local news, weather, sports & just interacting. Visit us online at",1,Mesa Shooting
23 I like screamo Bachelors Degree  GSU Drummer sports guru and Fly Eagles Fly Drum covers at JacobDrums1993 LindseyMorgan94 puts up with my antics,1,Random Samples
All Things Interesting!,1,Bostong Marathon Bombing
Putting the lies that come out of the White House pressroom and administration on BLAST.,1,Quebec Mosque Shooting
Just because it's easier this way.,1,Mesa Shooting
Workin' God & Country lovin' Conservative/Constitution. Musician & NRA member,1,Bostong Marathon Bombing
Country Music Recording Artist. Albums' COUNTRY FLOW & DAVID BRITT on iTunes https://t.co/wXpckci4OgÛ_,0,Bostong Marathon Bombing
Asst Prof ungnews Rhetoric  Composition aaup member Interests Bonhoeffer Merton and rhetoric of evil Opinions mine keepgunsoffcampus gators,1,Random Samples
The power of FOX News on the Radio!,0,Bostong Marathon Bombing
Test things. Build things. Test more things.,1,Quebec Mosque Shooting
A simple Asian. Marketing Specialist for @Michigan_com | @Freep. Writer for @DiffuserFM + @PopCrush. @OaklandU alum. I like to laugh.,1,Bostong Marathon Bombing
"Virologist researching #Ebola, #hantavirus, other emerging viruses  at Albert Einstein College of Medicine in NYC. Contact: kartik.chandran@einstein.yu.edu",0,Quebec Mosque Shooting
Kardashian without the $$$,1,Quebec Mosque Shooting
im a fungi,1,Brussel Airport Bombing
Download the eAvonLake App today on Google Play!,0,Brussel Airport Bombing
"_____¨__Clone between Ronald McDonald & Donald Trump. Like The Donald and The Big Mac, you know I can\'t be trusted, you know I\'m killing ya, still _º_¸loves me!",1,Quebec Mosque Shooting
"_ô_ô _ôÂ_ô_ _ô__ô¿ He spilled His blood for me. Social Club Misfit in the building, #benchwarmer #TAMU19 Business Mgmt, Allergic to dying, especially to the faceä__",1,Quebec Mosque Shooting
I am zubin,1,Brussel Airport Bombing
Opinions are my own. I\'m not here for heteronormative racist sexist xenophobic misogynistic homophobic idiots. I\'m here for femslash. A shipper without a ship.,1,Quebec Mosque Shooting
Russian Roulette professional  empathy and laughter! Secularist #Texas Irish-American secularism. End religion in politics,1,Bostong Marathon Bombing
there is never a wrong time for coffee or jukebox the ghost. dana perino liked one of my tweets once.,1,Brussel Airport Bombing
student,1,Quebec Mosque Shooting
This Is Not America.,1,Quebec Mosque Shooting
"Hawaiian 19 years old, SanDiegoBorn",1,Mesa Shooting
My name is Ben Shapiro,1,Bostong Marathon Bombing
Alphonzar Freeman Sr,1,Random Samples
"SapyNews is a Breaking News Portal? Delivering ? BEST GLOBAL NEWS,? Top news headlines from United States, Europe, Africa, Asia + Middle East. We Follow Back",0,Brussel Airport Bombing
from Philly in atl Send all beats to https://t.co/TaQebHjGXS also for booking or feature,1,Bostong Marathon Bombing
Zenzi is an award winning agency leading the values marketing movement.  Join us as we turn customers into passionate brand advocates.,0,Brussel Airport Bombing
RELAXX,1,Mesa Shooting
Staff writer at the Portland Press Herald/Maine Sunday Telegram. Moonlight musician for hire. rbillings@pressherald.com (207) 791-6346; (207) 615-5271,0,Brussel Airport Bombing
AndrÌ© Picard is the health columnist at The Globe and Mail. I tweet and RT about health issues,0,Bostong Marathon Bombing
Sniper for HorizonUnion  SimplyBO3 ,1,Random Samples
VSU20 BLIC BORN FLY DIE FLY Long Live DAVID  COBY AND ALL OF MY OTHER FALLEN ANGELS YNB NORTHEAST DC  Young Entrepreneur,1,Random Samples
"Hold it down from the trap house to state house
 Hell never be my president
BlackLivesMatter
BlackGirlMagic
CofC20",1,Random Samples
Student. Pop culture buff. Tvaholic.,1,Quebec Mosque Shooting
"Former trial attorney, law professor and mediator. Now writes for fun. http://t.co/dx09oqZaPj",1,Quebec Mosque Shooting
"Hotel and property manager in Nome Alaska , with a quirky view on the world and a great love of books. All RT's are interesting but not always shared views.",1,Brussel Airport Bombing
Hey y\'All,1,Quebec Mosque Shooting
Frankie my dog,1,Random Samples
FSU '19 | just a normal guy |,1,Bostong Marathon Bombing
Music HipHopRap RBSoul,1,Random Samples
"Pennsylvania #RedNationRising Account. Grassroots organization for Education, Constitution and Civics.",0,Brussel Airport Bombing
No sane intelligent person with morals voted for Trump. Austin-Nashville-Santa Monica-Park City #RESISTANCE #THERESISTANCE #IMPEACHTRUMP,1,Quebec Mosque Shooting
New York Times Deputy National Editor for Digital Formerly known as a correspondent in Mexico City Miami Baghdad Newark,0,Random Samples
One of the #10PeopleOnTwitter who opposed #Boston2024's bid. Premier League supporter-at-large. #GFOP. Fancier of Cats. Not a runner. Ex-Prez of #NOOOOO.,1,Brussel Airport Bombing
Yvng OGGOD of GTE  Music Mogul GrindTimeE BookingInfo celliinformationgmailcom,0,Random Samples
Going on vacay and building something HUGE with all of my friends and loving every second of it #ProudDad #TJL #TeamRhino,1,Bostong Marathon Bombing
News tip? call 503.802.6937 or email newstips@1190kex.com,0,Bostong Marathon Bombing
Political Correctness sucks. Democrat for Trump. I'm MexicanAmerican and Love my Mexican roots ! ISIS is Islamic. Pro Israel. Anti Pendejo.,1,Bostong Marathon Bombing
Retired Army mechanic who chose to follow her dreams! And to fight the craziness of stupidity!,1,Quebec Mosque Shooting
Publisher of The Examiner,0,Bostong Marathon Bombing
Live laugh and love,1,Random Samples
"Author. History nerd. Music enthusiast. Obsessed with books, films, & television shows. #RenewTheExorcist Author acct: @jessiethomas520",1,Quebec Mosque Shooting
#Spokane's Breaking News,0,Bostong Marathon Bombing
"Handball Player  CIC  FCP 
 sofiaaalves23  IG sofiaapa10",1,Random Samples
This is for Tori Kelly and i love this singer very much and listen to her songs a lot  Park Jihyo on 170821,1,Random Samples
(Trey). @MichiganStateU alumnus. Traveler. Yogi. Dreamer. Lover. Nerd. I just want to help people & leave my mark on the world. <U+265B> RTs <U+2260> endorsement.,1,Quebec Mosque Shooting
"Blossoming Lotus serves organic, freshly made, vegan fusion world cuisine with many cooked and live food options. We are open for lunch, dinner, Sunday brunch.",0,Brussel Airport Bombing
Retired med school prof. Specialty substance abuse treatment. Cancer survivor. Exposing the criminal enterprise in Healthcare + patient & human rights activist!,1,Quebec Mosque Shooting
"Owner of It Is Sew YOU & Laurie White Creations, after doing radio for 30+ years.",0,Quebec Mosque Shooting
A Course in Miraclesä_¥,1,Quebec Mosque Shooting
#RESISTANCE,0,Quebec Mosque Shooting
Posting the most talented singers on the planet The content we post is submitted by fans  Follow SoDamnTalented too Submissions WorldOfSingingyahoocom,0,Random Samples
mom life - IG:s.leette,1,Brussel Airport Bombing
NBA  20152017 Cleveland Cavalier Girl  I got big dreams,1,Random Samples
If you voted for #Trump & feel today it was a mistake pls tell us why. If you have bona fide advice on how to guard sanity during this administration-share _è_è_,1,Quebec Mosque Shooting
MAKE AMERICA GREAT AGAIN #VETS #Conservative #politically incorrect #Blue Lives Matter #Secure the borders #Israel #antiiIslam #????? ???? #Nobama #NRA,1,Brussel Airport Bombing
Fan von @v_lifeisnice  2 x Ironman  Boston Marathoner  USAT & Ironman Certified Coach   @Gatorade Endurance Athlete.,1,Bostong Marathon Bombing
"THE KING Henderson  old PWB tv Champion
 IloveKpop  The thirteenth son of God
 I AM the son of light",1,Random Samples
swagie officialrep the klockwizeEmpire follow me  il follow backno follow backunfollow  teamklockwize noLIE swagpioneer politemonstar  teamfollowbac,0,Random Samples
just dreaming,1,Mesa Shooting
hakkin hokkies f\' hokin hammies,1,Quebec Mosque Shooting
DirectionerMixerHarmonizer Dark Larrie  5SOSfam,1,Random Samples
Save DACA Trump is CACA                                   7717,1,Random Samples
Hoops Enthusiast. Tech enthusiast. Writer. @LakersSBN Contributor. @16WinsARing writer. Podcast Addict. DM me for personalized tech advice,1,Quebec Mosque Shooting
Psychology Student and no I can't analyze you.......yet,1,Bostong Marathon Bombing
I've been called the song bird of my generation. I'm part of a sweet boy band,1,Bostong Marathon Bombing
Political radio show made by four people who met at #OccupyBoston. Follow the link to hear or download or past episodes.,0,Bostong Marathon Bombing
Husband-Father-PROUD Arizona Native!! Cactus Ramper-Cardinals Fanatic-Struggling Golfer-Mediocre Fisherman Psalm 91 and Jeremiah 1:5 Everyday.,1,Mesa Shooting
UTK ? ???,1,Brussel Airport Bombing
The latest @BusinessInsider news and views from Europe.,0,Brussel Airport Bombing
WifeMumOMA Real Estate Consultant Executive Director 501c3 NonProfit CharityI love travels good people food dancing philanthropy etc,1,Random Samples
"Leaf Fan - (Bleeds Blue & White), Jay Fan - Spit Fan  There are no shoot-outs in REAL hockey.",1,Quebec Mosque Shooting
Need insults? My mom tells me to brush my hair & asks if I really need that second cookie. That usually works. Plus I\'m an actor but totally not famous! _ôÖ IKR,1,Quebec Mosque Shooting
"Game artist of @TheBridgeGame, @TumblestoneGame, @PrismaticGames - Intersectional-inclusive feminist. Pro-choice. Atheist. Rants often. He/Him.",1,Quebec Mosque Shooting
it happened,1,Random Samples
| Idea Innovator | Education Enthusiast | Community Advocate | Education Director | @Harvard Grad | Thought Leader | Change Agent | Eternal Optimist |,1,Mesa Shooting
Current news about Israeli science,0,Bostong Marathon Bombing
Lynn Arditi,1,Bostong Marathon Bombing
Just an old Marine,1,Quebec Mosque Shooting
"I'll tell you over rich, bold cup of coffee with vanilla creamer :  ))",1,Quebec Mosque Shooting
Happily married to a  government/history teacher..Very kind to ALL ppl and wish we could just play nice on this planet. hugs heal. GO GREENBAY_ô_ô_ó,1,Quebec Mosque Shooting
